,Date,Dollars per Million Btu
590,1999 04 12 Mon,2.06
591,1999 04 13 Tue,2.14
592,1999 04 14 Wed,2.11
593,1999 04 15 Thu,2.14
594,1999 04 16 Fri,2.14
595,1999 04 19 Mon,2.1
596,1999 04 20 Tue,2.18
597,1999 04 21 Wed,2.17
598,1999 04 22 Thu,2.24
599,1999 04 23 Fri,2.23
600,1999 04 26 Mon,2.23
601,1999 04 27 Tue,2.32
602,1999 04 28 Wed,2.31
603,1999 04 29 Thu,2.37
604,1999 04 30 Fri,2.25
605,1999 05 03 Mon,2.23
606,1999 05 04 Tue,2.32
607,1999 05 05 Wed,2.36
608,1999 05 06 Thu,2.32
609,1999 05 07 Fri,2.25
610,1999 05 10 Mon,2.25
611,1999 05 11 Tue,2.29
612,1999 05 12 Wed,2.19
613,1999 05 13 Thu,2.21
614,1999 05 14 Fri,2.28
615,1999 05 17 Mon,2.31
616,1999 05 18 Tue,2.3
617,1999 05 19 Wed,2.27
618,1999 05 20 Thu,2.26
619,1999 05 21 Fri,2.21
620,1999 05 24 Mon,2.19
621,1999 05 25 Tue,2.18
622,1999 05 26 Wed,2.22
623,1999 05 27 Thu,2.27
624,1999 05 28 Fri,2.29
625,1999 05 31 Mon,
626,1999 06 01 Tue,2.34
627,1999 06 02 Wed,2.36
628,1999 06 03 Thu,2.35
629,1999 06 04 Fri,2.31
630,1999 06 07 Mon,2.41
631,1999 06 08 Tue,2.38
632,1999 06 09 Wed,2.39
633,1999 06 10 Thu,2.37
634,1999 06 11 Fri,2.3
635,1999 06 14 Mon,2.29
636,1999 06 15 Tue,2.28
637,1999 06 16 Wed,2.28
638,1999 06 17 Thu,2.24
639,1999 06 18 Fri,2.24
640,1999 06 21 Mon,2.22
641,1999 06 22 Tue,2.23
642,1999 06 23 Wed,2.25
643,1999 06 24 Thu,2.26
644,1999 06 25 Fri,2.27
645,1999 06 28 Mon,2.25
646,1999 06 29 Tue,2.33
647,1999 06 30 Wed,2.34
648,1999 07 01 Thu,2.29
649,1999 07 02 Fri,2.26
650,1999 07 05 Mon,
651,1999 07 06 Tue,2.29
652,1999 07 07 Wed,2.2
653,1999 07 08 Thu,2.19
654,1999 07 09 Fri,2.17
655,1999 07 12 Mon,2.12
656,1999 07 13 Tue,2.14
657,1999 07 14 Wed,2.16
658,1999 07 15 Thu,2.12
659,1999 07 16 Fri,2.18
660,1999 07 19 Mon,2.2
661,1999 07 20 Tue,2.24
662,1999 07 21 Wed,2.25
663,1999 07 22 Thu,2.32
664,1999 07 23 Fri,2.42
665,1999 07 26 Mon,2.55
666,1999 07 27 Tue,2.55
667,1999 07 28 Wed,2.58
668,1999 07 29 Thu,2.67
669,1999 07 30 Fri,2.55
670,1999 08 02 Mon,2.51
671,1999 08 03 Tue,2.61
672,1999 08 04 Wed,2.64
673,1999 08 05 Thu,2.69
674,1999 08 06 Fri,2.69
675,1999 08 09 Mon,2.73
676,1999 08 10 Tue,2.77
677,1999 08 11 Wed,2.79
678,1999 08 12 Thu,2.73
679,1999 08 13 Fri,2.71
680,1999 08 16 Mon,2.73
681,1999 08 17 Tue,2.7
682,1999 08 18 Wed,2.75
683,1999 08 19 Thu,2.87
684,1999 08 20 Fri,2.97
685,1999 08 23 Mon,2.95
686,1999 08 24 Tue,3.01
687,1999 08 25 Wed,3.1
688,1999 08 26 Thu,2.97
689,1999 08 27 Fri,2.87
690,1999 08 30 Mon,2.85
691,1999 08 31 Tue,2.84
692,1999 09 01 Wed,2.71
693,1999 09 02 Thu,2.56
694,1999 09 03 Fri,2.47
695,1999 09 06 Mon,
696,1999 09 07 Tue,2.56
697,1999 09 08 Wed,2.66
698,1999 09 09 Thu,2.75
699,1999 09 10 Fri,2.84
700,1999 09 13 Mon,2.8
701,1999 09 14 Tue,2.66
702,1999 09 15 Wed,2.52
703,1999 09 16 Thu,2.47
704,1999 09 17 Fri,2.45
705,1999 09 20 Mon,2.49
706,1999 09 21 Tue,2.33
707,1999 09 22 Wed,2.3
708,1999 09 23 Thu,2.45
709,1999 09 24 Fri,2.54
710,1999 09 27 Mon,2.51
711,1999 09 28 Tue,2.52
712,1999 09 29 Wed,2.57
713,1999 09 30 Thu,2.31
714,1999 10 01 Fri,2.39
715,1999 10 04 Mon,2.49
716,1999 10 05 Tue,2.45
717,1999 10 06 Wed,2.48
718,1999 10 07 Thu,2.49
719,1999 10 08 Fri,2.35
